,inputs,pred_labels,true_labels,pred_outputs,true_outputs
19,"If an artifact was submitted in error, you can request an artifact permanent deletion.",ACP,ACP,"[{'decision': 'allow', 'subject': 'none', 'action': 'request', 'resource': 'artifact permanent deletion', 'condition': 'in the delete a student subflow the registrar decides not to delete the student', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'you', 'action': 'request', 'resource': 'artifact permanent deletion', 'condition': 'an artifact was submitted in error', 'purpose': 'none'}]"
20,"Such requests should be directed to that site’s managers (e.g., the program chairs ).",ACP,ACP,"[{'decision': 'allow', 'subject': 'none', 'action': 'direct', 'resource': 'request', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'none', 'action': 'direct', 'resource': 'request', 'condition': 'none', 'purpose': 'none'}]"
21,Configuration settings are stored by HotCRP.com indefinitely.,ACP,ACP,"[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'store', 'resource': 'configuration setting', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'store', 'resource': 'configuration setting', 'condition': 'none', 'purpose': 'none'}]"
22,"Site managers may request the deletion of a HotCRP.com site, if allowed by Site managers site agreements with HotCRP.com.",ACP,ACP,"[{'decision': 'allow', 'subject': 'site manager', 'action': 'request', 'resource': 'deletion of a hotcrp.com site', 'condition': 'allowed by Site managers site agreements with HotCRP.com', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'site manager', 'action': 'request', 'resource': 'deletion of a hotcrp.com site', 'condition': 'allowed by Site managers site agreements with HotCRP.com', 'purpose': 'none'}]"
23,"request will delete all associated site data, including submission and review artifacts.",ACP,ACP,"[{'decision': 'allow', 'subject': 'request', 'action': 'delete', 'resource': 'all associated site data', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'request', 'action': 'delete', 'resource': 'submission', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'request', 'action': 'delete', 'resource': 'review', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'request', 'action': 'delete', 'resource': 'all associated site data', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'request', 'action': 'delete', 'resource': 'submission', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'request', 'action': 'delete', 'resource': 'review', 'condition': 'none', 'purpose': 'none'}]"
24,Profile data is stored in several ways.,ACP,Not an ACP,"[{'decision': 'allow', 'subject': 'none', 'action': 'store', 'resource': 'profile data', 'condition': 'none', 'purpose': 'none'}]",None
25," Every HotCRP.com user has a global profile, which includes name, email, and affiliation, and other information.",ACP,Not an ACP,"[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'have', 'resource': 'global profile', 'condition': 'none', 'purpose': 'none'}]",None
26," Upon submitting an artifact to a HotCRP.com site, a user gains a site profile for a HotCRP.com site .",ACP,ACP,"[{'decision': 'allow', 'subject': 'user', 'action': 'gain', 'resource': 'site profile', 'condition': 'upon submitting an artifact to a HotCRP.com site', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'user', 'action': 'gain', 'resource': 'site profile', 'condition': 'upon submitting an artifact to a HotCRP.com site', 'purpose': 'none'}]"
27,"a site profile generally contains the same information as a site profile , but a site profile can differ.",ACP,Not an ACP,"[{'decision': 'allow', 'subject': 'none', 'action': 'differ', 'resource': 'site profile', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'contain', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}]",None
28,"(For example, changes to a global user affiliation only affect future site profiles.)",Not an ACP,Not an ACP,None,None
29,Users can update Users profiles at any time.,ACP,ACP,"[{'decision': 'allow', 'subject': 'user', 'action': 'update', 'resource': 'user profile', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'user', 'action': 'update', 'resource': 'user profile', 'condition': 'none', 'purpose': 'none'}]"
30,"A site manager can also create a profile for a user, for example by inviting a user to join a conference program committee.",ACP,ACP,"[{'decision': 'allow', 'subject': 'site manager', 'action': 'create', 'resource': 'profile', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'site manager', 'action': 'create', 'resource': 'profile', 'condition': 'none', 'purpose': 'none'}]"
31,Contact us if you want your global profile deleted and your site profiles disabled.,Not an ACP,Not an ACP,None,None
32,"Demographic data is stored in user global profiles, and can only be modified by users users (never by site managers).",ACP,ACP,"[{'decision': 'deny', 'subject': 'site manager', 'action': 'modify', 'resource': 'demographic data', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'user', 'action': 'modify', 'resource': 'demographic data', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'deny', 'subject': 'site manager', 'action': 'modify', 'resource': 'demographic data', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'user', 'action': 'modify', 'resource': 'demographic data', 'condition': 'none', 'purpose': 'none'}]"
33,Users control what demographic data is stored and how demographic data is shared using the Profile \> Demographics tab on any HotCRP.com site.,ACP,ACP,"[{'decision': 'allow', 'subject': 'user', 'action': 'control', 'resource': 'demographic data', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'user', 'action': 'store', 'resource': 'demographic data', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'user', 'action': 'share', 'resource': 'demographic data', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'user', 'action': 'store', 'resource': 'demographic data', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'user', 'action': 'share', 'resource': 'demographic data', 'condition': 'none', 'purpose': 'none'}]"
34,Information shared only with scholarly societies is provided directly to scholarly societies and cannot be accessed by site managers.,ACP,ACP,"[{'decision': 'deny', 'subject': 'site manager', 'action': 'access', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'scholarly society', 'action': 'access', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'deny', 'subject': 'site manager', 'action': 'access', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'scholarly society', 'action': 'access', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}]"
35,"Information that is explicitly shared with site managers may also be analyzed by HotCRP.com, but will be published only in aggregate, such as in terms of percentages of active HotCRP.com users.",ACP,ACP,"[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'analyze', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'site manager', 'action': 'analyze', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'analyze', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}]"
36,Browsing data is stored for up to a month and peruser browsing data is never shared.,ACP,ACP,"[{'decision': 'allow', 'subject': 'none', 'action': 'store', 'resource': 'browsing data', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'none', 'action': 'share', 'resource': 'browsing data', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'none', 'action': 'store', 'resource': 'browsing data', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'none', 'action': 'share', 'resource': 'browsing data', 'condition': 'none', 'purpose': 'none'}]"
37,We may store and share aggregate information such as total page loads.,ACP,ACP,"[{'decision': 'allow', 'subject': 'we', 'action': 'share', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'we', 'action': 'store', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'we', 'action': 'share', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'we', 'action': 'store', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}]"
38,"Misbehavior, such as denialofservice attacks and attempts to crack a user’s password, may be publicized and may be preserved indefinitely.",ACP,Not an ACP,"[{'decision': 'allow', 'subject': 'none', 'action': 'publicize', 'resource': 'misbehavior', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'preserve', 'resource': 'misbehavior', 'condition': 'none', 'purpose': 'none'}]",None
